Year,Title,Rating,Releases,Title_URL
1985,Killing Is My Businessâ€?and Business Is Good!,3.5,28,https://musicbrainz.org/release-group/5410e871-d248-384b-ad73-0cb23a543cef
1986,Peace Sellsâ€?but Whoâ€™s Buying?,4.15,29,https://musicbrainz.org/release-group/4eea6bcc-3226-3c0d-a71d-af682a0a1dd8
1997,Live Trax,null,1,https://musicbrainz.org/release-group/566aff87-eb72-3ae7-b07a-799f8b782c54
1988,"So Far, So Goodâ€?So What!",3.35,25,https://musicbrainz.org/release-group/0e4f3e50-73c5-3a57-871a-5264bc210989
1998,Live Trax II,null,1,https://musicbrainz.org/release-group/4799321e-b1aa-41ba-9fad-24d419351a83
1990,Rust in Peace,4.25,31,https://musicbrainz.org/release-group/19e7c9f3-7c4c-3a56-ba50-4156b39f76ca
1992,Countdown to Extinction,3.8,32,https://musicbrainz.org/release-group/04785b90-87cb-3d5d-a9a9-7f465e327bb4
1994,Youthanasia,3.8,22,https://musicbrainz.org/release-group/cd20894a-10eb-3f69-8550-a9b93446c2a8
1997,Cryptic Writings,3.65,20,https://musicbrainz.org/release-group/8f37e58c-0ab8-3393-88c0-fdb41488f233
1999,Risk,2.85,15,https://musicbrainz.org/release-group/49e5d092-0e76-3d60-a994-160a50bd2b7e
2000,The World Needs a Hero,2.5,12,https://musicbrainz.org/release-group/8f58b16b-049c-3fce-bf44-256015ea3b5b
2002,Rude Awakening,2,8,https://musicbrainz.org/release-group/69b3f8aa-5bee-393c-9c49-ec2dcfbe1316
2004,The System Has Failed,3.15,7,https://musicbrainz.org/release-group/97ae834d-8b50-3068-bf38-807d94f32dd5
2004,Unplugged in Philly,2,1,https://musicbrainz.org/release-group/2b1ff1ae-eea8-3a26-b53a-26a4c21796ff
2006,Unplugged in Boston,null,2,https://musicbrainz.org/release-group/9609494a-effd-4236-9e5e-036351270f05
2007,United Abominations,3.4,11,https://musicbrainz.org/release-group/5462e170-d7a8-30d9-97a0-04bdf84e8811
2007,That One Night: Live in Buenos Aires,5,4,https://musicbrainz.org/release-group/9cf24e5b-e50f-37f6-b017-c35b8dd3bd56
2007,Extended Versions,null,1,https://musicbrainz.org/release-group/89261071-f21d-44c4-bc8c-e5d9b1281f3e
2009,Endgame,3.65,12,https://musicbrainz.org/release-group/e165f024-3fab-4002-aad9-18da9c515d2a
2010,Rust in Peace: Live,null,3,https://musicbrainz.org/release-group/eb790d8a-a206-4c42-a8aa-77e052ca4ad7
2010,"The Big 4: Live From Sofia, Bulgaria",5,3,https://musicbrainz.org/release-group/0ad18f14-c0bc-4046-92fd-1e94e97c0ac1
2011,Th1rt3en,3.15,7,https://musicbrainz.org/release-group/41acf292-76c0-4c00-bd69-c3c5ebb7c593
2013,Super Collider,3.15,17,https://musicbrainz.org/release-group/e809dca1-6575-4f11-961b-a9d5c73ede67
2013,Countdown to Extinction: Live,null,5,https://musicbrainz.org/release-group/3873384f-7072-4f95-b179-041d4e074a84
2016,Dystopia,3.35,15,https://musicbrainz.org/release-group/6a5de5f5-b26a-4cf5-a497-b8238d0f6f40
2022,"The Sick, the Dyingâ€?and the Dead!",3.5,11,https://musicbrainz.org/release-group/70b5b83b-8817-4cf3-8248-ec9ced2213e2
